userid,email,phone,fname,lname
1,hannah.johnson@yahoo.com,555-101-2345,Hannah,Johnson
2,rocketeer567@gmail.com,818-207-8901,Lucas,Wilson
3,squisH!@gmail.com,555-124-5678,Iman,Abu-Khdair
4,grace.lee@yahoo.com,555-101-2346,Grace,Lee
5,fortifierBronze@gmail.com,818-207-8902,Dylan,Hernandez
6,diamondwolf587@hotmail.com,901-208-9013,Samuel,Harris
7,codefantastic@gmail.com,555-101-2347,Liam,Jackson
8,jeadon.jenson@usf.edu,818-207-8903,Jeadon,Jenson
9,kylecwik@usf.edu,901-208-9014,Kyle,Cwil
10,crystalpurple557@gmail.com,901-208-9012,Sophia,Martinez
11,dinkleburg@yahoo.com,515-101-2354,Bob,Odenkirk
